timestamp,open,high,low,close
2015-11-22,3.9887,3.9887,3.9803,3.9814
2015-11-21,3.9822,3.9822,3.9822,3.9822
2015-11-20,3.9603,3.9956,3.9535,3.9822
2015-11-19,3.9818,3.9884,3.9422,3.9603
2015-11-18,3.9865,3.9984,3.9698,3.9820
2015-11-17,3.9717,3.9999,3.9675,3.9865
2015-11-16,3.9471,3.9800,3.9299,3.9715
2015-11-15,3.9430,3.9491,3.9397,3.9446
2015-11-13,3.9154,3.9585,3.9112,3.9430
2015-11-12,3.9150,3.9514,3.9045,3.9154
2015-11-11,3.9486,3.9705,3.9144,3.9150
2015-11-10,3.9537,3.9737,3.9419,3.9496
2015-11-09,3.9731,3.9852,3.9429,3.9536
2015-11-08,3.9852,3.9852,3.9686,3.9733
2015-11-06,3.9044,3.9879,3.8935,3.9852
2015-11-05,3.9040,3.9123,3.8835,3.9057
2015-11-04,3.8752,3.9073,3.8679,3.9040
2015-11-03,3.8638,3.8880,3.8531,3.8752
2015-11-02,3.8458,3.8699,3.8429,3.8630
2015-11-01,3.8565,3.8570,3.8415,3.8478
2015-10-30,3.8941,3.9008,3.8419,3.8756
2015-10-29,3.9172,3.9283,3.8853,3.8941
2015-10-28,3.8782,3.9345,3.8621,3.9172
2015-10-27,3.8642,3.8833,3.8553,3.8782
2015-10-26,3.8726,3.8807,3.8455,3.8644
2015-10-25,3.8575,3.8751,3.8546,3.8696
2015-10-23,3.8301,3.8731,3.8126,3.8575
