timestamp,open (PLN),high (PLN),low (PLN),close (PLN),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2017-05-21,7521.04037776,7693.06779432,7445.98911900,7585.24949961,2010.05969954,2056.50261152,1990.45380569,2023.82768591,1958.65556476,3963981.35911923
2017-05-20,7269.38085760,7524.16973685,7265.78306833,7521.04037776,1942.85095770,2010.89604641,1941.88939461,2010.05969954,2071.76687703,4164375.10635661
2017-05-19,7059.87323426,7308.37551127,7059.87323426,7269.38155182,1860.43171072,1951.70336842,1860.20867221,1942.85114324,1756.16329516,3411963.86572542
2017-05-18,6821.54678213,7060.66698880,6808.55138498,7060.66698880,1816.30141161,1860.64088248,1805.13225508,1860.64088248,1148.34356714,2136654.98815769
2017-05-17,6664.34738243,6977.84152981,6664.34738243,6821.53380354,1772.31544571,1857.33744512,1772.31544571,1816.29795594,1562.85669586,2838613.42211456
2017-05-16,6667.00959489,6767.40755927,6558.10851548,6672.09602418,1744.20833014,1789.15981950,1717.37802130,1774.37611823,1090.07555852,1934204.03809958
2017-05-15,6828.76921665,6849.98318037,6592.50572719,6673.82310284,1772.39287786,1777.18626368,1714.27026424,1745.99086505,2226.65577716,3887720.64653413
2017-05-14,6860.76976888,6951.39020619,6712.56228820,6828.77133901,1780.12702580,1803.65854262,1741.14837902,1772.39342872,1175.87851818,2084119.35859207
2017-05-13,6536.60756556,6902.96059929,6353.03353809,6860.80422202,1696.01840267,1791.07405361,1648.38743727,1780.13596518,1921.35468059,3420272.56877716
2017-05-12,7045.33272951,7045.33272951,6402.93453954,6578.66875588,1811.75663420,1811.75663420,1658.77285293,1706.93179347,3240.20777913,5530813.67563260
2017-05-11,6726.96260293,7060.61525359,6699.21927884,7045.40790463,1736.25246726,1817.69426616,1730.09717858,1811.77596601,3075.51578047,5572145.57414822
2017-05-10,6466.59216546,6732.87163436,6448.14042576,6725.40077939,1662.51688214,1737.53095431,1659.98245466,1735.84935516,2815.23055191,4886816.13817172
2017-05-09,6207.19832600,6664.03578467,6168.70706552,6493.54986404,1603.35340608,1711.77759974,1592.48002542,1669.44752317,4892.22079460,8167305.88836502
2017-05-08,5892.24262919,6217.09411665,5892.04107963,6196.66311139,1539.08670751,1605.69594170,1536.78692739,1600.63210231,3515.75354822,5627427.99307716
2017-05-07,5797.81481662,5905.02778301,5775.74720191,5895.49092632,1513.77791208,1542.59172860,1508.01617792,1539.93518087,1131.44715252,1742355.27546407
2017-05-06,5698.47931769,5861.16451650,5698.47931769,5797.80326093,1487.84195364,1530.31817414,1487.84195364,1513.77489496,1402.53907820,2123128.44577378
2017-05-05,5689.98037227,6004.00151269,5671.88752988,5698.55193006,1477.55008685,1558.66748350,1477.55008685,1487.86091233,3485.40983736,5185805.06047087
2017-05-04,5333.43823086,6029.84723809,5288.66720112,5688.47018686,1380.52698792,1565.52314932,1370.45654989,1477.15792828,5539.16363391,8182219.47788025
2017-05-03,5321.03636204,5365.64320330,5253.11692799,5333.43847258,1384.48594371,1393.71217781,1366.46548483,1380.52705048,1445.60932448,1995702.77687497
2017-05-02,5162.47291539,5361.81298105,5147.28817508,5332.73145063,1332.54165499,1391.19716174,1330.35800963,1387.52890088,2975.31109990,4128330.14023178
2017-05-01,5102.64805737,5192.33660280,5071.07715540,5171.61585899,1317.55363208,1339.80644722,1309.76020089,1334.90163893,3171.53320941,4233684.87917662
2017-04-30,5091.35931848,5108.24439004,5050.19084073,5108.24439004,1311.96931442,1319.63142675,1301.52848841,1318.99865990,563.62041344,743414.57002004
2017-04-29,5089.92944351,5131.80077651,5067.64949978,5091.35931848,1311.59815258,1322.38776443,1305.85963867,1311.96931442,1008.83779056,1323564.22444410
2017-04-28,5042.30745920,5100.86204050,4987.27430178,5089.93234874,1297.84112819,1317.87615205,1292.96648888,1311.59890122,2422.33221185,3177128.26744149
2017-04-27,4945.41441016,5081.06773799,4941.85530669,5046.71660135,1276.92139527,1307.59047565,1275.70495972,1298.97599870,2488.28184649,3232218.39659037
2017-04-26,4871.60460540,4992.74795132,4871.60460540,4955.75771872,1260.84489816,1287.66108650,1260.84489816,1279.59206974,2324.79569890,2974790.14006920
2017-04-25,4868.20870504,4909.92895473,4815.24229912,4871.60356289,1246.11053946,1271.99153651,1237.20267498,1260.84462834,1211.71299592,1527781.82199727
2017-04-24,4831.44773827,4872.65062924,4806.65840631,4868.24124368,1234.26754588,1247.62532946,1229.87225638,1246.11886834,1380.70196925,1720518.77543686
2017-04-23,4849.11210209,4876.18265088,4786.29860247,4831.50493984,1220.03224547,1252.75221873,1212.69532294,1234.28215890,790.40663257,975584.80485454
2017-04-22,4891.59245772,4891.59245772,4795.75360749,4850.54169076,1230.72026475,1230.72026475,1206.60729620,1220.39192869,1161.96688550,1418055.00847094
2017-04-21,4843.78286002,4907.72280047,4816.41202528,4891.53674134,1216.95901373,1231.27801376,1210.49472107,1230.70624656,2217.14660196,2728656.17257542
2017-04-20,4786.49161148,4864.35534376,4750.70138746,4843.85578392,1204.39516597,1223.82339983,1197.02671314,1216.97733524,1706.92659474,2077290.97871408
2017-04-19,4809.62915801,4814.99609235,4745.51914643,4786.49161148,1220.37889419,1220.81819793,1195.99701037,1204.39516597,1040.47261058,1253140.18251089
2017-04-18,4769.18270939,4832.99346400,4762.67969940,4809.62915801,1194.70599670,1225.95763046,1194.29091518,1220.37889419,1654.93013249,2019641.80505306
2017-04-17,4723.46093968,4801.70080099,4717.88824481,4769.18722614,1182.90930219,1203.65801525,1181.29124973,1194.70712817,868.17696324,1037217.20649195
2017-04-16,4712.85374516,4769.50268932,4706.94695599,4721.17848511,1181.68463491,1195.92877673,1180.46997529,1182.33770082,446.40225011,527798.21003758
2017-04-15,4724.96494821,4744.66831704,4694.75364119,4712.84245817,1184.97004153,1189.91143306,1177.39337289,1181.68180485,791.94279666,935824.39329144
2017-04-14,4699.18557238,4748.95627521,4662.40205921,4723.99536559,1174.51539029,1190.12635899,1165.11990284,1184.72688071,1301.82684618,1542309.25869749
2017-04-13,4833.87527355,4852.17756048,4585.64685819,4699.18557238,1213.88121124,1219.36574444,1147.10571350,1174.51539029,2801.00554505,3289824.12094489
2017-04-12,4862.34533808,4874.47686522,4783.40372361,4833.87595742,1213.95235465,1219.01650077,1201.53750754,1213.88138297,1660.49925058,2015649.12671749
2017-04-11,4787.32904088,4873.91634871,4758.04814021,4859.39458268,1198.16521903,1217.14388034,1189.32114901,1213.21565739,1895.06530145,2299122.89550468
2017-04-10,4754.35302420,4809.32292172,4750.28772468,4787.32904088,1191.52357437,1203.71037640,1188.12143733,1198.16521903,1404.79304076,1683174.16136836
2017-04-09,4663.84729372,4798.03999111,4656.42726620,4754.35363385,1169.54355055,1202.80433363,1167.68284526,1191.52372717,1821.04080763,2169813.33042734
2017-04-08,4736.41183452,4766.76706724,4652.23827585,4671.23595195,1187.79253921,1195.40499357,1166.63238063,1171.39638943,1267.04131126,1484207.61726910
